"Utilizar los principios de ocultación de la información y reutilización del software  en el diseño de tres tipos de clases:tipos de datos, utilidades y programas.";"Introducción a la informática y a la programación"
"Definir y usar tipos de datos elementales, clases básicas del estándar y clases sencillas de usuario como atributos, variables locales y parámetros y resultados de los métodos.";"Introducción a la informática y a la programación"
"Codificar en Java la solución de pequeños problemas querequieren el uso de la asignación, la selección (if-else,switch) y la composición secuencial de estas.";"Introducción a la informática y a la programación"
"Reconocer la base de representación de un número (decimal, binario o hexadecimal) y transformar un número en cualquiera de las bases en otra base";"Fundamentos de computadores"
"Escribir expresiones que involucren el uso de operadores aritméticos, lógicos y de los métodos de las clases del problema.";"Introducción a la informática y a la programación"
"Escribir código Java correcto sujeto a unos estándares de eficiencia mínimos y con un estilo de programación sujeto a las convenciones del lenguaje.";"Introducción a la informática y a la programación"
"Detectar deficiencias en la consecución de los resultados de aprendizaje y poner los medios adecuados para superarlas.";"Introducción a la informática y a la programación"
"Llevar a cabo las tareas propuestas en el tiempo previsto a partir de las pautas marcadas por el profesor .";"Introducción a la informática y a la programación"
"Ampliar el diseño de clases para la resolución de problemas numéricos que requieran el uso de la iteración como estrategia de diseño.";"Introducción a la informática y a la programación"
"Ampliar el diseño de clases para la resolución de problemas que requieren el uso de arrays y su exploración mediante los esquemas iterativos de recorrido y búsqueda o su combinación.";"Introducción a la informática y a la programación"
"Añadir a los criterios de corrección, eficiencia y estilo los requeridos para el diseño iterativo (uso de estrategias inductivas para garantizar la corrección y terminación de un bucle).";"Introducción a la informática y a la programación"
"Utilizar el entorno integrado de programación BlueJ para editar, compilar, depurar y ejecutar aplicaciones Java.";"Introducción a la informática y a la programación"
"Reconocer los parámetros característicos del computador y calcularlos en función de unas condiciones concretas.";"Fundamentos de computadores"
"Saber completar una tabla de verdad de múltiples variables en función de la redacción en prosa de un enunciado.";"Fundamentos de computadores"
"Conocer las puertas lógicas básicas, así como las funciones lógicas básicas asociadas.";"Fundamentos de computadores"
"Saber analizar un circuito lógico a partir de las puertas lógicas que lo componen y generar, tanto la función lógica equivalente como la tabla de verdad que la representa.";"Fundamentos de computadores"
"Conocer los axiomas y propiedades del álgebra de Boole, así como la relación con las puertas lógicas y el papel en la simplificación de funciones lógicas.";"Fundamentos de computadores"
"Representar en las formas canónicas conjuntiva y disyuntiva, una función lógica, así como su plasmado en una tabla de verdad.";"Fundamentos de computadores"
"Simplificar funciones lógicas por medio del método de Karnaugh.";"Fundamentos de computadores"
